depth,vsh,phit,sw,perm,well,zone,dz,is_net,subzone
1856.6,0.3263,0.1634,0.5555,127.1136,1,A,0.1999999999998181,True,Subzone_0
1856.8,0.5476,0.1627,0.5187,220.549,1,A,0.20000000000004547,False,Subzone_1
1857.0,0.5615,0.1402,0.3958,127.5993,1,A,0.20000000000004547,False,Subzone_1
1857.2,0.5315,0.1538,0.5301,78.2381,1,A,0.20000000000004547,False,Subzone_1
1857.4,0.3502,0.1956,0.4241,355.7869,1,A,0.20000000000004547,True,Subzone_0
1857.6,0.4848,0.1826,0.3537,270.6641,1,A,0.1999999999998181,True,Subzone_0
1857.8,0.4675,0.1569,0.6282,1318.5894,1,A,0.20000000000004547,True,Subzone_0
1858.0,0.4828,0.1833,0.5996,1740.2947,1,A,0.20000000000004547,True,Subzone_2
1858.2,0.5807,0.1452,0.2882,131.442,1,A,0.20000000000004547,False,Subzone_1
1858.4,0.4835,0.1394,0.5401,115.8839,1,A,0.20000000000004547,True,Subzone_1
1858.6,0.5518,0.1353,0.7095,60.0444,1,A,0.1999999999998181,False,Subzone_1
1858.8,0.4601,0.1297,0.7213,30.4351,1,A,0.20000000000004547,True,Subzone_1
1859.0,0.4934,0.1371,0.7133,128.9107,1,A,0.20000000000004547,True,Subzone_1
1859.2,0.5447,0.1409,0.5637,77.9698,1,A,0.20000000000004547,False,Subzone_1
1859.4,0.2314,0.2055,0.4053,872.6206,1,A,0.20000000000004547,True,Subzone_0
1859.6,0.402,0.2013,0.3711,272.9461,1,A,0.1999999999998181,True,Subzone_0
1859.8,0.3794,0.1423,0.609,95.2017,1,A,0.20000000000004547,True,Subzone_0
1860.0,0.3542,0.1811,0.5987,522.2327,1,A,0.20000000000004547,True,Subzone_0
1860.2,0.4087,0.1452,0.7492,225.2714,1,A,0.20000000000004547,True,Subzone_1
1860.4,0.6742,0.1405,0.723,204.725,1,A,0.20000000000004547,False,Subzone_1
1860.6,0.3201,0.1751,0.5244,160.4405,1,A,0.1999999999998181,True,Subzone_0
1860.8,0.5952,0.1048,0.3857,103.306,1,A,0.20000000000004547,False,Subzone_1
1861.0,0.1976,0.2125,0.4814,645.3237,1,A,0.20000000000004547,True,Subzone_0
1861.2,0.3998,0.1551,0.5848,355.9802,1,A,0.20000000000004547,True,Subzone_0
1861.4,0.4744,0.1467,0.5252,180.8016,1,A,0.20000000000004547,True,Subzone_1
1861.6,0.5379,0.1276,0.4765,41.5199,1,A,0.1999999999998181,False,Subzone_1
1861.8,0.5567,0.1334,0.5988,101.4671,1,A,0.20000000000004547,False,Subzone_1
1862.0,0.569,0.1534,0.4773,282.4903,1,A,0.20000000000004547,False,Subzone_1
1862.2,0.3977,0.1637,0.4545,445.1722,1,A,0.20000000000004547,True,Subzone_0
1862.4,0.3806,0.1763,0.5904,374.66,1,A,0.20000000000004547,True,Subzone_0
1862.6,0.5787,0.1509,0.4936,588.491,1,A,0.1999999999998181,False,Subzone_1
1862.8,0.4213,0.1908,0.5745,1235.566,1,A,0.20000000000004547,True,Subzone_0
1863.0,0.2586,0.179,0.5836,372.4244,1,A,0.20000000000004547,True,Subzone_0
1863.2,0.28,0.1535,0.3819,369.0283,1,A,0.20000000000004547,True,Subzone_0
1863.4,0.3121,0.2001,0.462,3033.4252,1,A,0.20000000000004547,True,Subzone_2
1863.6,0.5246,0.1441,0.7723,657.1474,1,A,0.1999999999998181,False,Subzone_1
1863.8,0.4714,0.1801,0.3679,196.0929,1,A,0.20000000000004547,True,Subzone_0
1864.0,0.5536,0.1546,0.2349,119.4514,1,A,0.20000000000004547,False,Subzone_1
1864.2,0.3859,0.1664,0.2684,876.4313,1,A,0.20000000000004547,True,Subzone_0
1864.4,0.4738,0.1644,0.5528,143.1373,1,A,0.20000000000004547,True,Subzone_0
1864.6,0.5438,0.1872,0.544,223.8929,1,A,0.1999999999998181,False,Subzone_0
1864.8,0.4036,0.2083,0.5133,713.3749,1,A,0.20000000000004547,True,Subzone_0
1865.0,0.5185,0.1529,0.7352,289.3275,1,A,0.20000000000004547,False,Subzone_1
1865.2,0.3507,0.1769,0.1426,391.0212,1,A,0.20000000000004547,True,Subzone_0
1865.4,0.3955,0.1893,0.5979,377.216,1,A,0.20000000000004547,True,Subzone_0
1865.6,0.3927,0.1512,0.788,129.6219,1,A,0.1999999999998181,True,Subzone_0
1865.8,0.2706,0.1909,0.3687,378.0657,1,A,0.20000000000004547,True,Subzone_0
1866.0,0.523,0.1504,0.4971,110.0108,1,A,0.20000000000004547,False,Subzone_1
1866.2,0.3796,0.1762,0.4308,1988.6476,1,A,0.20000000000004547,True,Subzone_2
1866.4,0.4519,0.1437,0.4226,205.8146,1,A,0.20000000000004547,True,Subzone_1
1866.6,0.5221,0.1193,0.5176,157.5818,1,A,0.1999999999998181,False,Subzone_1
1866.8,0.517,0.1103,0.7842,47.5187,1,A,0.20000000000004547,False,Subzone_1
1867.0,0.5498,0.1251,0.8398,88.1344,1,A,0.20000000000004547,False,Subzone_1
1867.2,0.4352,0.1534,0.5025,133.7987,1,A,0.20000000000004547,True,Subzone_0
1867.4,0.3865,0.1631,0.8348,45.9089,1,A,0.20000000000004547,True,Subzone_0
1867.6,0.438,0.2009,0.5392,314.5385,1,A,0.1999999999998181,True,Subzone_0
1867.8,0.1969,0.2161,0.7908,355.1105,1,A,0.20000000000004547,True,Subzone_0
1868.0,0.2329,0.17,0.5322,73.3157,1,A,0.20000000000004547,True,Subzone_0
1868.2,0.2516,0.1937,0.5564,292.6279,1,A,0.20000000000004547,True,Subzone_0
1868.4,0.3004,0.1722,0.6002,920.3092,1,A,0.20000000000004547,True,Subzone_0
1868.6,0.51,0.147,1.0,178.0883,1,A,0.1999999999998181,False,Subzone_1
1868.8,0.3142,0.1822,0.669,1185.739,1,A,0.20000000000004547,True,Subzone_0
1869.0,0.3933,0.1805,0.436,615.1022,1,A,0.20000000000004547,True,Subzone_0
1869.2,0.6449,0.1281,0.7084,187.0032,1,A,0.20000000000004547,False,Subzone_1
1869.4,0.3966,0.1889,0.4844,313.9812,1,A,0.20000000000004547,True,Subzone_0
1869.6,0.5606,0.1232,0.4915,136.4855,1,A,0.1999999999998181,False,Subzone_1
1869.8,0.31,0.1792,0.6788,739.8833,1,A,0.20000000000004547,True,Subzone_0
1870.0,0.4192,0.2166,0.5323,844.2275,1,A,0.20000000000004547,True,Subzone_0
1870.2,0.3075,0.1839,0.5825,748.7322,1,A,0.20000000000004547,True,Subzone_0
1870.4,0.3991,0.196,0.5379,1050.95,1,A,0.20000000000004547,True,Subzone_0
1870.6,0.576,0.1458,0.6064,121.5183,1,A,0.1999999999998181,False,Subzone_1
1870.8,0.1909,0.2064,0.5954,436.684,1,A,0.20000000000004547,True,Subzone_0
1871.0,0.5152,0.1509,0.2633,90.1809,1,A,0.20000000000004547,False,Subzone_1
1871.2,0.4857,0.1525,0.6532,226.8652,1,A,0.20000000000004547,True,Subzone_1
1871.4,0.3609,0.1568,0.4042,301.5763,1,A,0.20000000000004547,True,Subzone_0
1871.6,0.2331,0.1978,0.3188,432.8106,1,A,0.1999999999998181,True,Subzone_0
1871.8,0.4608,0.1421,0.5486,163.5568,1,A,0.20000000000004547,True,Subzone_1
1872.0,0.3706,0.1844,0.5531,765.4363,1,A,0.20000000000004547,True,Subzone_0
1872.2,0.4849,0.1777,0.4391,657.419,1,A,0.20000000000004547,True,Subzone_0
1872.4,0.4533,0.1675,0.6719,945.2344,1,A,0.20000000000004547,True,Subzone_0
1872.6,0.6903,0.1232,0.3636,229.6212,1,A,0.1999999999998181,False,Subzone_1
1872.8,0.4141,0.1744,0.4834,196.1712,1,A,0.20000000000004547,True,Subzone_0
1873.0,0.2965,0.1747,0.4566,1262.9243,1,A,0.20000000000004547,True,Subzone_0
1873.2,0.4769,0.1758,0.5369,281.7361,1,A,0.20000000000004547,True,Subzone_0
1873.4,0.483,0.1196,0.6082,177.359,1,A,0.20000000000004547,True,Subzone_1
1873.6,0.6539,0.127,0.4123,110.6897,1,A,0.1999999999998181,False,Subzone_1
1873.8,0.5753,0.1042,0.6812,42.3973,1,A,0.20000000000004547,False,Subzone_1
1874.0,0.5035,0.1236,0.5742,27.6238,1,A,0.20000000000004547,False,Subzone_1
1874.2,0.6695,0.1589,0.2669,226.661,1,A,0.20000000000004547,False,Subzone_1
1874.4,0.2717,0.202,0.2396,286.2065,1,A,0.20000000000004547,True,Subzone_0
1874.6,0.354,0.1589,0.5488,497.4157,1,A,0.1999999999998181,True,Subzone_0
1874.8,0.311,0.1489,0.5215,551.8123,1,A,0.20000000000004547,True,Subzone_0
1875.0,0.3915,0.109,0.5551,37.0902,1,A,0.20000000000004547,True,Subzone_1
1875.2,0.2435,0.177,0.5392,518.1469,1,A,0.20000000000004547,True,Subzone_0
1875.4,0.5453,0.1964,0.5695,436.0841,1,A,0.20000000000004547,False,Subzone_0
1875.6,0.4167,0.1737,0.6869,248.7866,1,A,0.1999999999998181,True,Subzone_0
1875.8,0.2294,0.1785,0.3762,749.4016,1,A,0.20000000000004547,True,Subzone_0
1876.0,0.2977,0.19,0.3624,586.8936,1,A,0.20000000000004547,True,Subzone_0
1876.2,0.497,0.1232,0.401,316.2085,1,A,0.20000000000004547,True,Subzone_1
1876.4,0.5757,0.1381,0.6024,102.8096,1,A,0.20000000000004547,False,Subzone_1
1876.6,0.7495,0.1231,0.7518,188.9958,1,A,0.1999999999998181,False,Subzone_1
1876.8,0.8871,0.1012,0.5091,55.3893,1,A,0.20000000000004547,False,Subzone_1
1877.0,0.5122,0.1682,0.1717,571.8251,1,A,0.20000000000004547,False,Subzone_0
1877.2,0.3016,0.1871,0.2838,408.2083,1,A,0.20000000000004547,True,Subzone_0
1877.4,0.1302,0.2162,0.4028,1200.3414,1,A,0.20000000000004547,True,Subzone_2
1877.6,0.4902,0.1415,0.474,145.7917,1,A,0.1999999999998181,True,Subzone_1
1877.8,0.3281,0.1947,0.4751,384.6036,1,A,0.20000000000004547,True,Subzone_0
1878.0,0.3877,0.2014,0.5395,1304.5424,1,A,0.20000000000004547,True,Subzone_2
1878.2,0.3582,0.1533,0.5062,342.6676,1,A,0.20000000000004547,True,Subzone_0
1878.4,0.4289,0.1456,0.7134,266.4841,1,A,0.20000000000004547,True,Subzone_1
1878.6,0.6099,0.1662,0.4464,902.8197,1,A,0.1999999999998181,False,Subzone_1
1878.8,0.4736,0.1537,0.4234,600.8501,1,A,0.20000000000004547,True,Subzone_0
1879.0,0.4262,0.1918,0.6093,489.0186,1,A,0.20000000000004547,True,Subzone_0
1879.2,0.2947,0.1723,0.315,477.5056,1,A,0.20000000000004547,True,Subzone_0
1879.4,0.1988,0.2229,0.5835,971.0362,1,A,0.20000000000004547,True,Subzone_2
1879.6,0.3771,0.1729,0.5605,381.3379,1,A,0.1999999999998181,True,Subzone_0
1879.8,0.4419,0.1668,0.5254,209.9079,1,A,0.20000000000004547,True,Subzone_0
1880.0,0.7152,0.1569,0.7897,739.0831,1,A,0.20000000000004547,False,Subzone_1
1880.2,0.4695,0.1508,0.4606,262.1388,1,A,0.20000000000004547,True,Subzone_0
1880.4,0.5974,0.1223,0.8744,79.8772,1,A,0.20000000000004547,False,Subzone_1
1880.6,0.3751,0.1615,0.5158,625.5511,1,A,0.1999999999998181,True,Subzone_0
1880.8,0.2723,0.1931,0.3454,146.5947,1,A,0.20000000000004547,True,Subzone_0
1881.0,0.3052,0.1484,0.5654,47.4787,1,A,0.20000000000004547,True,Subzone_0
1881.2,0.3412,0.1877,0.3777,980.0728,1,A,0.20000000000004547,True,Subzone_0
1881.4,0.7693,0.1077,0.4584,64.6117,1,A,0.20000000000004547,False,Subzone_1
1881.6,0.3268,0.1998,0.5939,939.6593,1,A,0.1999999999998181,True,Subzone_0
1881.8,0.5758,0.0961,0.6591,18.0067,1,A,0.20000000000004547,False,Subzone_1
1882.0,0.3146,0.1627,0.4558,279.2477,1,A,0.20000000000004547,True,Subzone_0
1882.2,0.5897,0.1084,0.719,252.4403,1,A,0.20000000000004547,False,Subzone_1
1882.4,0.5077,0.1365,0.7333,242.4937,1,A,0.20000000000004547,False,Subzone_1
1882.6,0.4265,0.1687,0.7622,375.6375,1,A,0.1999999999998181,True,Subzone_0
1882.8,0.4439,0.1578,0.6305,182.8751,1,A,0.20000000000004547,True,Subzone_0
1883.0,0.3518,0.1685,0.7514,253.2766,1,A,0.20000000000004547,True,Subzone_0
1883.2,0.5169,0.1486,0.2727,44.0808,1,A,0.20000000000004547,False,Subzone_1
1883.4,0.3818,0.1737,0.4971,458.5739,1,A,0.20000000000004547,True,Subzone_0
1883.6,0.2662,0.1647,0.4183,537.0321,1,A,0.1999999999998181,True,Subzone_0
1883.8,0.2583,0.2,0.5521,267.7911,1,A,0.20000000000004547,True,Subzone_0
1884.0,0.4759,0.1704,0.4603,222.2327,1,A,0.20000000000004547,True,Subzone_0
1884.2,0.6869,0.137,0.5345,62.687,1,A,0.20000000000004547,False,Subzone_1
1884.4,0.474,0.1686,0.8291,171.0601,1,A,0.20000000000004547,True,Subzone_0
1884.6,0.4322,0.1689,0.5212,348.7974,1,A,0.1999999999998181,True,Subzone_0
1884.8,0.4929,0.1956,0.5981,166.8725,1,A,0.20000000000004547,True,Subzone_0
1885.0,0.6459,0.133,0.5262,190.6657,1,A,0.20000000000004547,False,Subzone_1
1885.2,0.4829,0.1501,0.5656,336.9235,1,A,0.20000000000004547,True,Subzone_1
1885.4,0.3884,0.1537,0.5537,185.6346,1,A,0.20000000000004547,True,Subzone_0
1885.6,0.6159,0.1181,0.6343,14.8727,1,A,0.1999999999998181,False,Subzone_1
1885.8,0.5143,0.1272,0.7381,53.423,1,A,0.20000000000004547,False,Subzone_1
1886.0,0.6804,0.1124,0.8164,165.525,1,A,0.20000000000004547,False,Subzone_1
1886.2,0.4775,0.1556,0.5985,34.143,1,A,0.20000000000004547,True,Subzone_1
1886.4,0.2663,0.1915,0.6261,494.4332,1,A,0.20000000000004547,True,Subzone_0
1886.6,0.2448,0.1887,0.3661,257.3644,1,A,0.1999999999998181,True,Subzone_0
1886.8,0.6976,0.1126,0.556,123.7605,1,A,0.20000000000004547,False,Subzone_1
1887.0,0.7085,0.1445,0.6975,107.4403,1,A,0.20000000000004547,False,Subzone_1
1887.2,0.4231,0.1789,0.6726,586.812,1,A,0.20000000000004547,True,Subzone_0
1887.4,0.3925,0.165,0.58,446.2393,1,A,0.20000000000004547,True,Subzone_0
1887.6,0.6692,0.1186,0.6998,297.9399,1,A,0.1999999999998181,False,Subzone_1
1887.8,0.2839,0.1935,0.6105,576.7322,1,A,0.20000000000004547,True,Subzone_0
1888.0,0.3158,0.1821,0.7215,627.6451,1,A,0.20000000000004547,True,Subzone_0
1888.2,0.5465,0.1189,0.6101,30.2885,1,A,0.20000000000004547,False,Subzone_1
1888.4,0.3908,0.1671,0.4941,727.3894,1,A,0.20000000000004547,True,Subzone_0
1888.6,0.4492,0.1659,0.5982,183.296,1,A,0.1999999999998181,True,Subzone_0
1888.8,0.4255,0.1458,0.1163,120.7483,1,A,0.20000000000004547,True,Subzone_0
1889.0,0.5006,0.1577,0.6086,243.1534,1,A,0.20000000000004547,False,Subzone_1
1889.2,0.6611,0.1036,0.0255,18.8261,1,A,0.20000000000004547,False,Subzone_1
1889.4,0.4636,0.1855,0.2815,623.7243,1,A,0.20000000000004547,True,Subzone_0
1889.6,0.5466,0.1728,0.6129,731.0516,1,A,0.1999999999998181,False,Subzone_0
1889.8,0.1425,0.1961,0.6074,874.172,1,A,0.20000000000004547,True,Subzone_0
1890.0,0.4427,0.1688,0.3723,112.0302,1,A,0.20000000000004547,True,Subzone_0
1890.2,0.3235,0.1291,0.4558,102.8081,1,A,0.20000000000004547,True,Subzone_0
1890.4,0.2672,0.1616,0.7552,459.0661,1,A,0.20000000000004547,True,Subzone_0
1890.6,0.3183,0.1721,0.4728,100.449,1,A,0.1999999999998181,True,Subzone_0
1890.8,0.3999,0.1458,0.8924,84.4979,1,A,0.20000000000004547,True,Subzone_1
1891.0,0.5874,0.1568,0.5513,440.5547,1,A,0.20000000000004547,False,Subzone_1
1891.2,0.251,0.2268,0.5847,2007.8474,1,A,0.20000000000004547,True,Subzone_2
1891.4,0.4546,0.1365,0.8022,182.4425,1,A,0.20000000000004547,True,Subzone_1
1891.6,0.3774,0.1534,0.5725,792.6763,1,A,0.1999999999998181,True,Subzone_0
1891.8,0.4008,0.1718,0.3952,503.6497,1,A,0.20000000000004547,True,Subzone_0
1892.0,0.6004,0.173,0.5286,592.8967,1,A,0.20000000000004547,False,Subzone_1
1892.2,0.5307,0.1255,0.5587,659.4739,1,A,0.20000000000004547,False,Subzone_1
1892.4,0.6506,0.1391,0.3539,127.3683,1,A,0.20000000000004547,False,Subzone_1
1892.6,0.4268,0.2001,0.4958,458.836,1,A,0.1999999999998181,True,Subzone_0
1892.8,0.3456,0.1413,0.4464,211.0924,1,A,0.20000000000004547,True,Subzone_0
1893.0,0.4164,0.1394,0.6971,201.6645,1,A,0.20000000000004547,True,Subzone_1
1893.2,0.4864,0.1473,0.5605,128.7961,1,A,0.20000000000004547,True,Subzone_1
1893.4,0.4765,0.1467,0.5131,89.2454,1,A,0.20000000000004547,True,Subzone_1
1893.6,0.2873,0.1983,0.519,3739.6266,1,A,0.1999999999998181,True,Subzone_2
1893.8,0.4636,0.1636,0.5823,364.5449,1,A,0.20000000000004547,True,Subzone_0
1894.0,0.4842,0.1206,0.6585,53.3699,1,A,0.20000000000004547,True,Subzone_1
1894.2,0.8276,0.1211,0.4159,168.8596,1,A,0.20000000000004547,False,Subzone_1
1894.4,0.7315,0.1119,0.4132,64.5519,1,A,0.20000000000004547,False,Subzone_1
1894.6,0.322,0.203,0.6987,724.3251,1,A,0.1999999999998181,True,Subzone_0
1894.8,0.4069,0.1537,0.4909,326.2445,1,A,0.20000000000004547,True,Subzone_0
1895.0,0.2305,0.1768,0.331,171.6175,1,A,0.20000000000004547,True,Subzone_0
1895.2,0.3614,0.1831,0.6076,635.6408,1,A,0.20000000000004547,True,Subzone_0
1895.4,0.4973,0.1696,0.6159,1285.8818,1,A,0.20000000000004547,True,Subzone_0
1895.6,0.6309,0.1457,0.3264,244.3916,1,A,0.1999999999998181,False,Subzone_1
1895.8,0.3406,0.1413,0.5921,121.0663,1,A,0.20000000000004547,True,Subzone_0
1896.0,0.3519,0.1843,0.6509,362.7621,1,A,0.20000000000004547,True,Subzone_0
1896.2,0.1279,0.1824,0.5974,368.1798,1,A,0.20000000000004547,True,Subzone_0
1896.4,0.4256,0.1685,0.6416,279.336,1,A,0.20000000000004547,True,Subzone_0
1896.6,0.2906,0.1532,0.3423,167.7225,1,A,0.1999999999998181,True,Subzone_0
1896.8,0.3706,0.18,0.5919,861.0048,1,A,0.20000000000004547,True,Subzone_0
1897.0,0.3185,0.1618,0.5041,83.5595,1,A,0.20000000000004547,True,Subzone_0
1897.2,0.4359,0.1368,0.4871,251.3995,1,A,0.20000000000004547,True,Subzone_1
1897.4,0.1863,0.2097,0.661,798.4489,1,A,0.20000000000004547,True,Subzone_0
1897.6,0.2299,0.1945,0.7583,884.8079,1,A,0.1999999999998181,True,Subzone_0
1897.8,0.7694,0.1062,0.8409,27.2797,1,A,0.20000000000004547,False,Subzone_1
1898.0,0.2569,0.2151,0.7254,3019.7003,1,A,0.20000000000004547,True,Subzone_2
1898.2,0.2855,0.1735,0.5284,903.0882,1,A,0.20000000000004547,True,Subzone_0
1898.4,0.7255,0.1249,0.6172,193.3447,1,A,0.20000000000004547,False,Subzone_1
1898.6,0.8858,0.1085,0.6859,22.2366,1,A,0.1999999999998181,False,Subzone_1
1898.8,0.2743,0.1714,0.5639,639.1175,1,A,0.20000000000004547,True,Subzone_0
1899.0,0.3948,0.1773,0.5629,561.339,1,A,0.20000000000004547,True,Subzone_0
1899.2,0.5012,0.1432,0.6805,54.505,1,A,0.20000000000004547,False,Subzone_1
1899.4,0.7093,0.1181,0.5581,81.354,1,A,0.20000000000004547,False,Subzone_1
1899.6,0.302,0.2074,0.4219,1253.3484,1,A,0.1999999999998181,True,Subzone_2
1899.8,0.4132,0.1446,0.4942,252.6736,1,A,0.20000000000004547,True,Subzone_0
1900.0,0.5666,0.097,0.6705,52.0734,1,A,0.20000000000004547,False,Subzone_1
1900.2,0.5152,0.1842,0.541,627.9049,1,A,0.20000000000004547,False,Subzone_0
1900.4,0.3936,0.219,0.5777,3719.6049,1,A,0.20000000000004547,True,Subzone_2
1900.6,0.4299,0.1551,0.6527,536.4656,1,A,0.1999999999998181,True,Subzone_0
1900.8,0.2438,0.1491,0.4984,26.8484,1,A,0.20000000000004547,True,Subzone_0
1901.0,0.4143,0.1591,0.664,206.0831,1,A,0.20000000000004547,True,Subzone_0
1901.2,0.41,0.1602,0.607,235.7246,1,A,0.20000000000004547,True,Subzone_0
1901.4,0.4848,0.1522,0.3681,63.2157,1,A,0.20000000000004547,True,Subzone_1
1901.6,0.3667,0.1493,0.7709,209.0199,1,A,0.1999999999998181,True,Subzone_0
1901.8,0.5207,0.1629,0.474,674.3486,1,A,0.20000000000004547,False,Subzone_0
1902.0,0.6019,0.151,0.3056,96.9371,1,A,0.20000000000004547,False,Subzone_1
1902.2,0.4733,0.1276,0.4064,135.6853,1,A,0.20000000000004547,True,Subzone_1
1902.4,0.5028,0.1676,0.394,172.4578,1,A,0.20000000000004547,False,Subzone_0
1902.6,0.458,0.2006,0.5418,507.7396,1,A,0.1999999999998181,True,Subzone_0
1902.8,0.45,0.164,0.5075,815.9593,1,A,0.20000000000004547,True,Subzone_0
1903.0,0.3418,0.1681,0.4965,226.4211,1,A,0.20000000000004547,True,Subzone_0
1903.2,0.4975,0.1515,0.6466,286.1435,1,A,0.20000000000004547,True,Subzone_1
1903.4,0.4354,0.1748,0.5953,108.7956,1,A,0.20000000000004547,True,Subzone_0
1903.6,0.764,0.0845,0.6278,118.3579,1,A,0.1999999999998181,False,Subzone_1
1903.8,0.686,0.1327,0.6226,187.7675,1,A,0.20000000000004547,False,Subzone_1
1904.0,0.5079,0.1452,0.6486,153.8373,1,A,0.20000000000004547,False,Subzone_1
1904.2,0.3355,0.2127,0.213,1677.4298,1,A,0.20000000000004547,True,Subzone_2
1904.4,0.2831,0.1791,0.4879,168.5628,1,A,0.20000000000004547,True,Subzone_0
1904.6,0.6287,0.1704,0.2191,792.9333,1,A,0.1999999999998181,False,Subzone_0
1904.8,0.4894,0.1333,0.5663,100.6184,1,A,0.20000000000004547,True,Subzone_1
1905.0,0.522,0.1628,0.5484,247.081,1,A,0.20000000000004547,False,Subzone_1
1905.2,0.1883,0.2015,0.6905,590.0285,1,A,0.20000000000004547,True,Subzone_0
1905.4,0.5891,0.1249,0.7424,66.692,1,A,0.20000000000004547,False,Subzone_1
1905.6,0.5182,0.1552,0.5826,371.7115,1,A,0.1999999999998181,False,Subzone_1
1905.8,0.2834,0.2068,0.4565,1145.0248,1,A,0.20000000000004547,True,Subzone_2
1906.0,0.3793,0.1635,0.6216,453.9926,1,A,0.20000000000004547,True,Subzone_0
1906.2,0.4896,0.1215,0.4864,90.3299,1,A,0.20000000000004547,True,Subzone_1
1906.4,0.4579,0.1592,0.5503,366.8417,1,A,0.20000000000004547,True,Subzone_0
1906.6,0.4062,0.1483,0.7028,142.6868,1,A,0.1999999999998181,True,Subzone_1
1906.8,0.4345,0.1558,0.4683,1092.8147,1,A,0.20000000000004547,True,Subzone_0
1907.0,0.4122,0.164,0.6695,99.3367,1,A,0.20000000000004547,True,Subzone_0
1907.2,0.4729,0.1235,0.6665,229.0213,1,A,0.20000000000004547,True,Subzone_1
1907.4,0.6707,0.0992,0.4314,125.947,1,A,0.20000000000004547,False,Subzone_1
1907.6,0.065,0.2211,0.6719,789.0172,1,A,0.1999999999998181,True,Subzone_2
1907.8,0.4145,0.1548,0.6571,1063.6659,1,A,0.20000000000004547,True,Subzone_0
1908.0,0.4765,0.1058,0.5872,117.0494,1,A,0.20000000000004547,True,Subzone_1
1908.2,0.4944,0.1704,0.4317,686.3981,1,A,0.20000000000004547,True,Subzone_0
1908.4,0.3942,0.1734,0.416,388.4564,1,A,0.20000000000004547,True,Subzone_0
1908.6,0.1865,0.1811,0.4611,405.6013,1,A,0.1999999999998181,True,Subzone_0
1908.8,0.4992,0.1278,0.6445,93.4128,1,A,0.20000000000004547,True,Subzone_1
1909.0,0.7091,0.1431,0.4137,216.0402,1,A,0.20000000000004547,False,Subzone_1
1909.2,0.2199,0.198,0.6007,1976.2665,1,A,0.20000000000004547,True,Subzone_2
1909.4,0.5796,0.1911,0.3515,704.9743,1,A,0.20000000000004547,False,Subzone_0
1909.6,0.4007,0.1755,0.5134,215.1145,1,A,0.1999999999998181,True,Subzone_0
