depth,vsh,phit,sw,perm,well,zone
1859.2,0.5447,0.1409,0.5637,77.9698,1,A
1859.4,0.2314,0.2055,0.4053,872.6206,1,A
1859.6,0.402,0.2013,0.3711,272.9461,1,A
1859.8,0.3794,0.1423,0.609,95.2017,1,A
1860.0,0.3542,0.1811,0.5987,522.2327,1,A
1860.2,0.4087,0.1452,0.7492,225.2714,1,A
1860.4,0.6742,0.1405,0.723,204.725,1,A
1860.6,0.3201,0.1751,0.5244,160.4405,1,A
1860.8,0.5952,0.1048,0.3857,103.306,1,A
1861.0,0.1976,0.2125,0.4814,645.3237,1,A
1861.2,0.3998,0.1551,0.5848,355.9802,1,A
1861.4,0.4744,0.1467,0.5252,180.8016,1,A
1861.6,0.5379,0.1276,0.4765,41.5199,1,A
1861.8,0.5567,0.1334,0.5988,101.4671,1,A
1862.0,0.569,0.1534,0.4773,282.4903,1,A
1862.2,0.3977,0.1637,0.4545,445.1722,1,A
1862.4,0.3806,0.1763,0.5904,374.66,1,A
1862.6,0.5787,0.1509,0.4936,588.491,1,A
1862.8,0.4213,0.1908,0.5745,1235.566,1,A
1863.0,0.2586,0.179,0.5836,372.4244,1,A
1863.2,0.28,0.1535,0.3819,369.0283,1,A
1863.4,0.3121,0.2001,0.462,3033.4252,1,A
1863.6,0.5246,0.1441,0.7723,657.1474,1,A
1863.8,0.4714,0.1801,0.3679,196.0929,1,A
1864.0,0.5536,0.1546,0.2349,119.4514,1,A
1864.2,0.3859,0.1664,0.2684,876.4313,1,A
1864.4,0.4738,0.1644,0.5528,143.1373,1,A
1864.6,0.5438,0.1872,0.544,223.8929,1,A
1864.8,0.4036,0.2083,0.5133,713.3749,1,A
1865.0,0.5185,0.1529,0.7352,289.3275,1,A
1865.2,0.3507,0.1769,0.1426,391.0212,1,A
1865.4,0.3955,0.1893,0.5979,377.216,1,A
1865.6,0.3927,0.1512,0.788,129.6219,1,A
1865.8,0.2706,0.1909,0.3687,378.0657,1,A
1866.0,0.523,0.1504,0.4971,110.0108,1,A
1866.2,0.3796,0.1762,0.4308,1988.6476,1,A
1866.4,0.4519,0.1437,0.4226,205.8146,1,A
1866.6,0.5221,0.1193,0.5176,157.5818,1,A
1866.8,0.517,0.1103,0.7842,47.5187,1,A
1867.0,0.5498,0.1251,0.8398,88.1344,1,A
1867.2,0.4352,0.1534,0.5025,133.7987,1,A
1867.4,0.3865,0.1631,0.8348,45.9089,1,A
1867.6,0.438,0.2009,0.5392,314.5385,1,A
1867.8,0.1969,0.2161,0.7908,355.1105,1,A
1868.0,0.2329,0.17,0.5322,73.3157,1,A
1868.2,0.2516,0.1937,0.5564,292.6279,1,A
1868.4,0.3004,0.1722,0.6002,920.3092,1,A
1868.6,0.51,0.147,1.0,178.0883,1,A
1868.8,0.3142,0.1822,0.669,1185.739,1,A
1869.0,0.3933,0.1805,0.436,615.1022,1,A
1869.2,0.6449,0.1281,0.7084,187.0032,1,A
1869.4,0.3966,0.1889,0.4844,313.9812,1,A
1869.6,0.5606,0.1232,0.4915,136.4855,1,A
1869.8,0.31,0.1792,0.6788,739.8833,1,A
1870.0,0.4192,0.2166,0.5323,844.2275,1,A
1870.2,0.3075,0.1839,0.5825,748.7322,1,A
1870.4,0.3991,0.196,0.5379,1050.95,1,A
1870.6,0.576,0.1458,0.6064,121.5183,1,A
1870.8,0.1909,0.2064,0.5954,436.684,1,A
1871.0,0.5152,0.1509,0.2633,90.1809,1,A
1871.2,0.4857,0.1525,0.6532,226.8652,1,A
1871.4,0.3609,0.1568,0.4042,301.5763,1,A
1871.6,0.2331,0.1978,0.3188,432.8106,1,A
1871.8,0.4608,0.1421,0.5486,163.5568,1,A
1872.0,0.3706,0.1844,0.5531,765.4363,1,A
1872.2,0.4849,0.1777,0.4391,657.419,1,A
1872.4,0.4533,0.1675,0.6719,945.2344,1,A
1872.6,0.6903,0.1232,0.3636,229.6212,1,A
1872.8,0.4141,0.1744,0.4834,196.1712,1,A
1873.0,0.2965,0.1747,0.4566,1262.9243,1,A
1873.2,0.4769,0.1758,0.5369,281.7361,1,A
1873.4,0.483,0.1196,0.6082,177.359,1,A
1873.6,0.6539,0.127,0.4123,110.6897,1,A
1873.8,0.5753,0.1042,0.6812,42.3973,1,A
1874.0,0.5035,0.1236,0.5742,27.6238,1,A
1874.2,0.6695,0.1589,0.2669,226.661,1,A
1874.4,0.2717,0.202,0.2396,286.2065,1,A
1874.6,0.354,0.1589,0.5488,497.4157,1,A
1874.8,0.311,0.1489,0.5215,551.8123,1,A
1875.0,0.3915,0.109,0.5551,37.0902,1,A
1875.2,0.2435,0.177,0.5392,518.1469,1,A
1875.4,0.5453,0.1964,0.5695,436.0841,1,A
1875.6,0.4167,0.1737,0.6869,248.7866,1,A
1875.8,0.2294,0.1785,0.3762,749.4016,1,A
1876.0,0.2977,0.19,0.3624,586.8936,1,A
1876.2,0.497,0.1232,0.401,316.2085,1,A
1876.4,0.5757,0.1381,0.6024,102.8096,1,A
1876.6,0.7495,0.1231,0.7518,188.9958,1,A
1876.8,0.8871,0.1012,0.5091,55.3893,1,A
1877.0,0.5122,0.1682,0.1717,571.8251,1,A
1877.2,0.3016,0.1871,0.2838,408.2083,1,A
1877.4,0.1302,0.2162,0.4028,1200.3414,1,A
1877.6,0.4902,0.1415,0.474,145.7917,1,A
1877.8,0.3281,0.1947,0.4751,384.6036,1,A
1878.0,0.3877,0.2014,0.5395,1304.5424,1,A
1878.2,0.3582,0.1533,0.5062,342.6676,1,A
1878.4,0.4289,0.1456,0.7134,266.4841,1,A
1878.6,0.6099,0.1662,0.4464,902.8197,1,A
1878.8,0.4736,0.1537,0.4234,600.8501,1,A
1879.0,0.4262,0.1918,0.6093,489.0186,1,A
1879.2,0.2947,0.1723,0.315,477.5056,1,A
1879.4,0.1988,0.2229,0.5835,971.0362,1,A
1879.6,0.3771,0.1729,0.5605,381.3379,1,A
1879.8,0.4419,0.1668,0.5254,209.9079,1,A
1880.0,0.7152,0.1569,0.7897,739.0831,1,A
1880.2,0.4695,0.1508,0.4606,262.1388,1,A
1880.4,0.5974,0.1223,0.8744,79.8772,1,A
1880.6,0.3751,0.1615,0.5158,625.5511,1,A
1880.8,0.2723,0.1931,0.3454,146.5947,1,A
1881.0,0.3052,0.1484,0.5654,47.4787,1,A
1881.2,0.3412,0.1877,0.3777,980.0728,1,A
1881.4,0.7693,0.1077,0.4584,64.6117,1,A
1881.6,0.3268,0.1998,0.5939,939.6593,1,A
1881.8,0.5758,0.0961,0.6591,18.0067,1,A
1882.0,0.3146,0.1627,0.4558,279.2477,1,A
1882.2,0.5897,0.1084,0.719,252.4403,1,A
1882.4,0.5077,0.1365,0.7333,242.4937,1,A
1882.6,0.4265,0.1687,0.7622,375.6375,1,A
1882.8,0.4439,0.1578,0.6305,182.8751,1,A
1883.0,0.3518,0.1685,0.7514,253.2766,1,A
1883.2,0.5169,0.1486,0.2727,44.0808,1,A
1883.4,0.3818,0.1737,0.4971,458.5739,1,A
1883.6,0.2662,0.1647,0.4183,537.0321,1,A
1883.8,0.2583,0.2,0.5521,267.7911,1,A
1884.0,0.4759,0.1704,0.4603,222.2327,1,A
1884.2,0.6869,0.137,0.5345,62.687,1,A
1884.4,0.474,0.1686,0.8291,171.0601,1,A
1884.6,0.4322,0.1689,0.5212,348.7974,1,A
1884.8,0.4929,0.1956,0.5981,166.8725,1,A
1885.0,0.6459,0.133,0.5262,190.6657,1,A
1885.2,0.4829,0.1501,0.5656,336.9235,1,A
1885.4,0.3884,0.1537,0.5537,185.6346,1,A
1885.6,0.6159,0.1181,0.6343,14.8727,1,A
1885.8,0.5143,0.1272,0.7381,53.423,1,A
1886.0,0.6804,0.1124,0.8164,165.525,1,A
1886.2,0.4775,0.1556,0.5985,34.143,1,A
1886.4,0.2663,0.1915,0.6261,494.4332,1,A
1886.6,0.2448,0.1887,0.3661,257.3644,1,A
1886.8,0.6976,0.1126,0.556,123.7605,1,A
1887.0,0.7085,0.1445,0.6975,107.4403,1,A
1887.2,0.4231,0.1789,0.6726,586.812,1,A
1887.4,0.3925,0.165,0.58,446.2393,1,A
1887.6,0.6692,0.1186,0.6998,297.9399,1,A
1887.8,0.2839,0.1935,0.6105,576.7322,1,A
1888.0,0.3158,0.1821,0.7215,627.6451,1,A
1888.2,0.5465,0.1189,0.6101,30.2885,1,A
1888.4,0.3908,0.1671,0.4941,727.3894,1,A
1888.6,0.4492,0.1659,0.5982,183.296,1,A
1888.8,0.4255,0.1458,0.1163,120.7483,1,A
1889.0,0.5006,0.1577,0.6086,243.1534,1,A
1889.2,0.6611,0.1036,0.0255,18.8261,1,A
1889.4,0.4636,0.1855,0.2815,623.7243,1,A
1889.6,0.5466,0.1728,0.6129,731.0516,1,A
1889.8,0.1425,0.1961,0.6074,874.172,1,A
1890.0,0.4427,0.1688,0.3723,112.0302,1,A
1890.2,0.3235,0.1291,0.4558,102.8081,1,A
1890.4,0.2672,0.1616,0.7552,459.0661,1,A
1890.6,0.3183,0.1721,0.4728,100.449,1,A
1890.8,0.3999,0.1458,0.8924,84.4979,1,A
1891.0,0.5874,0.1568,0.5513,440.5547,1,A
1891.2,0.251,0.2268,0.5847,2007.8474,1,A
1891.4,0.4546,0.1365,0.8022,182.4425,1,A
1891.6,0.3774,0.1534,0.5725,792.6763,1,A
1891.8,0.4008,0.1718,0.3952,503.6497,1,A
1892.0,0.6004,0.173,0.5286,592.8967,1,A
1892.2,0.5307,0.1255,0.5587,659.4739,1,A
1892.4,0.6506,0.1391,0.3539,127.3683,1,A
1892.6,0.4268,0.2001,0.4958,458.836,1,A
1892.8,0.3456,0.1413,0.4464,211.0924,1,A
1893.0,0.4164,0.1394,0.6971,201.6645,1,A
1893.2,0.4864,0.1473,0.5605,128.7961,1,A
1893.4,0.4765,0.1467,0.5131,89.2454,1,A
1893.6,0.2873,0.1983,0.519,3739.6266,1,A
1893.8,0.4636,0.1636,0.5823,364.5449,1,A
1894.0,0.4842,0.1206,0.6585,53.3699,1,A
1894.2,0.8276,0.1211,0.4159,168.8596,1,A
1894.4,0.7315,0.1119,0.4132,64.5519,1,A
1894.6,0.322,0.203,0.6987,724.3251,1,A
1894.8,0.4069,0.1537,0.4909,326.2445,1,A
1895.0,0.2305,0.1768,0.331,171.6175,1,A
1895.2,0.3614,0.1831,0.6076,635.6408,1,A
1895.4,0.4973,0.1696,0.6159,1285.8818,1,A
1895.6,0.6309,0.1457,0.3264,244.3916,1,A
1895.8,0.3406,0.1413,0.5921,121.0663,1,A
1896.0,0.3519,0.1843,0.6509,362.7621,1,A
1896.2,0.1279,0.1824,0.5974,368.1798,1,A
1896.4,0.4256,0.1685,0.6416,279.336,1,A
1896.6,0.2906,0.1532,0.3423,167.7225,1,A
1896.8,0.3706,0.18,0.5919,861.0048,1,A
1897.0,0.3185,0.1618,0.5041,83.5595,1,A
1897.2,0.4359,0.1368,0.4871,251.3995,1,A
1897.4,0.1863,0.2097,0.661,798.4489,1,A
1897.6,0.2299,0.1945,0.7583,884.8079,1,A
1897.8,0.7694,0.1062,0.8409,27.2797,1,A
1898.0,0.2569,0.2151,0.7254,3019.7003,1,A
1898.2,0.2855,0.1735,0.5284,903.0882,1,A
1898.4,0.7255,0.1249,0.6172,193.3447,1,A
1898.6,0.8858,0.1085,0.6859,22.2366,1,A
1898.8,0.2743,0.1714,0.5639,639.1175,1,A
1899.0,0.3948,0.1773,0.5629,561.339,1,A
1899.2,0.5012,0.1432,0.6805,54.505,1,A
1899.4,0.7093,0.1181,0.5581,81.354,1,A
1899.6,0.302,0.2074,0.4219,1253.3484,1,A
1899.8,0.4132,0.1446,0.4942,252.6736,1,A
1900.0,0.5666,0.097,0.6705,52.0734,1,A
1900.2,0.5152,0.1842,0.541,627.9049,1,A
1900.4,0.3936,0.219,0.5777,3719.6049,1,A
1900.6,0.4299,0.1551,0.6527,536.4656,1,A
1900.8,0.2438,0.1491,0.4984,26.8484,1,A
1901.0,0.4143,0.1591,0.664,206.0831,1,A
1901.2,0.41,0.1602,0.607,235.7246,1,A
1901.4,0.4848,0.1522,0.3681,63.2157,1,A
1901.6,0.3667,0.1493,0.7709,209.0199,1,A
1901.8,0.5207,0.1629,0.474,674.3486,1,A
1902.0,0.6019,0.151,0.3056,96.9371,1,A
1902.2,0.4733,0.1276,0.4064,135.6853,1,A
1902.4,0.5028,0.1676,0.394,172.4578,1,A
1902.6,0.458,0.2006,0.5418,507.7396,1,A
1902.8,0.45,0.164,0.5075,815.9593,1,A
1903.0,0.3418,0.1681,0.4965,226.4211,1,A
1903.2,0.4975,0.1515,0.6466,286.1435,1,A
1903.4,0.4354,0.1748,0.5953,108.7956,1,A
1903.6,0.764,0.0845,0.6278,118.3579,1,A
1903.8,0.686,0.1327,0.6226,187.7675,1,A
1904.0,0.5079,0.1452,0.6486,153.8373,1,A
1904.2,0.3355,0.2127,0.213,1677.4298,1,A
1904.4,0.2831,0.1791,0.4879,168.5628,1,A
1904.6,0.6287,0.1704,0.2191,792.9333,1,A
1904.8,0.4894,0.1333,0.5663,100.6184,1,A
1905.0,0.522,0.1628,0.5484,247.081,1,A
1905.2,0.1883,0.2015,0.6905,590.0285,1,A
1905.4,0.5891,0.1249,0.7424,66.692,1,A
1905.6,0.5182,0.1552,0.5826,371.7115,1,A
1905.8,0.2834,0.2068,0.4565,1145.0248,1,A
1906.0,0.3793,0.1635,0.6216,453.9926,1,A
1906.2,0.4896,0.1215,0.4864,90.3299,1,A
1906.4,0.4579,0.1592,0.5503,366.8417,1,A
1906.6,0.4062,0.1483,0.7028,142.6868,1,A
1906.8,0.4345,0.1558,0.4683,1092.8147,1,A
1907.0,0.4122,0.164,0.6695,99.3367,1,A
1907.2,0.4729,0.1235,0.6665,229.0213,1,A
1907.4,0.6707,0.0992,0.4314,125.947,1,A
1907.6,0.065,0.2211,0.6719,789.0172,1,A
1907.8,0.4145,0.1548,0.6571,1063.6659,1,A
1908.0,0.4765,0.1058,0.5872,117.0494,1,A
1908.2,0.4944,0.1704,0.4317,686.3981,1,A
1908.4,0.3942,0.1734,0.416,388.4564,1,A
1908.6,0.1865,0.1811,0.4611,405.6013,1,A
1908.8,0.4992,0.1278,0.6445,93.4128,1,A
1909.0,0.7091,0.1431,0.4137,216.0402,1,A
1909.2,0.2199,0.198,0.6007,1976.2665,1,A
1909.4,0.5796,0.1911,0.3515,704.9743,1,A
1909.6,0.4007,0.1755,0.5134,215.1145,1,A
1909.8,0.4408,0.1696,0.5629,605.5466,1,A
1910.0,0.2921,0.1781,0.9098,819.693,1,A
1910.2,0.3998,0.1836,0.3342,792.6671,1,A
1910.4,0.645,0.1474,0.7761,310.4413,1,A
1910.6,0.5374,0.1741,0.5671,322.0303,1,A
1910.8,0.7098,0.1159,0.6296,40.9061,1,A
1911.0,0.6266,0.1286,0.5806,60.6026,1,A
1911.2,0.5159,0.1423,0.624,52.1494,1,A
1911.4,0.7116,0.1419,0.5344,187.8098,1,A
1911.6,0.5158,0.1819,0.7596,454.4336,1,A
1911.8,0.5742,0.135,0.4918,97.3536,1,A
1912.0,0.4055,0.158,0.7209,32.2875,1,A
1912.2,0.46,0.1656,0.4514,129.5902,1,A
1912.4,0.3454,0.1695,0.5374,741.613,1,A
1912.6,0.5984,0.16,0.3894,166.4102,1,A
1912.8,0.2733,0.1389,0.6269,188.3284,1,A
1913.0,0.5674,0.1286,0.7796,42.2375,1,A
1913.2,0.4214,0.1487,0.5431,520.3918,1,A
1913.4,0.6257,0.091,0.5483,35.3849,1,A
1913.6,0.5626,0.1265,0.3965,127.2133,1,A
1913.8,0.7231,0.1062,0.5373,296.9689,1,A
1914.0,0.5596,0.1421,0.3185,457.3354,1,A
1914.2,0.2142,0.214,0.3917,945.9298,1,A
1914.4,0.44,0.157,0.5854,160.8153,1,A
1914.6,0.2742,0.1632,0.7468,229.4088,1,A
1914.8,0.3723,0.1697,0.9677,489.3771,1,A
1915.0,0.6767,0.1517,0.4656,194.2525,1,A
1915.2,0.5456,0.1285,0.7782,83.7372,1,A
1915.4,0.3452,0.1562,0.5883,652.9535,1,A
1915.6,0.2979,0.1918,0.5148,585.9331,1,A
1915.8,0.4549,0.1555,0.6169,1137.9391,1,A
1916.0,0.2675,0.1976,0.5445,792.271,1,A
1916.2,0.3493,0.1736,0.5614,1315.174,1,A
1916.4,0.4968,0.1685,0.4856,425.267,1,A
1916.6,0.6233,0.117,0.3577,156.0153,1,A
1916.8,0.5413,0.1483,0.3234,115.4183,1,A
1917.0,0.1063,0.2018,0.6315,462.2927,1,A
1917.2,0.4957,0.1303,0.5206,158.8475,1,A
1917.4,0.4608,0.1279,0.4737,214.4945,1,A
1917.6,0.5121,0.1661,0.5491,320.2701,1,A
1917.8,0.6924,0.1216,0.6848,37.4147,1,A
1918.0,0.1405,0.181,0.5689,183.6541,1,A
1918.2,0.3613,0.1704,0.4477,130.7442,1,A
1918.4,0.5386,0.1715,0.7296,106.4728,1,A
1918.6,0.2128,0.1463,0.7926,194.2922,1,A
1918.8,0.6714,0.1014,0.6478,113.4578,1,A
1919.0,0.5053,0.1348,0.7064,130.0652,1,A
1919.2,0.577,0.1731,0.7313,79.179,1,A
1919.4,0.3644,0.1776,0.7127,374.4975,1,A
1919.6,0.5721,0.1598,0.6424,233.9732,1,A
1919.8,0.6103,0.1166,0.6573,337.6698,1,A
1920.0,0.4849,0.1336,0.6387,46.3488,1,A
1920.2,0.4852,0.1649,0.3837,230.0268,1,A
1920.4,0.4906,0.1564,0.6568,773.9414,1,A
1920.6,0.3205,0.1887,0.3354,792.5408,1,A
1920.8,0.4279,0.1598,0.4311,385.661,1,A
1921.0,0.4271,0.1692,0.7421,366.9181,1,A
1921.2,0.5075,0.1562,0.6778,297.1921,1,A
1921.4,0.6,0.1564,0.7748,406.9947,1,A
1921.6,0.2912,0.1977,0.4944,426.1321,1,A
1921.8,0.4312,0.1307,0.3891,214.5608,1,A
1922.0,0.6722,0.0863,0.5436,13.3033,1,A
1922.2,0.3385,0.1954,0.5514,876.6088,1,A
1922.4,0.3267,0.2006,0.5458,914.6247,1,A
1922.6,0.4803,0.1362,0.7298,88.9804,1,A
1922.8,0.5767,0.1067,0.5174,59.3483,1,A
1923.0,0.4517,0.1624,0.6021,182.5961,1,A
1923.2,0.6493,0.1529,0.4048,103.1169,1,A
1923.4,0.5785,0.1796,0.61,353.968,1,A
1923.6,0.5763,0.1543,0.553,104.6884,1,A
1923.8,0.5331,0.1422,0.4449,200.9875,1,A
1924.0,0.7991,0.0966,0.5402,20.643,1,A
1924.2,0.4192,0.1649,0.5207,492.3657,1,A
1924.4,0.1495,0.1943,0.496,299.8953,1,A
1924.6,0.6906,0.1085,0.8365,42.9066,1,A
1924.8,0.1375,0.2776,0.3339,15000.0,1,B
1925.0,0.3325,0.2774,0.1644,15000.0,1,B
1925.2,0.233,0.285,0.3523,15000.0,1,B
1925.4,0.1788,0.2951,0.2151,15000.0,1,B
1925.6,0.2499,0.319,0.1295,15000.0,1,B
1925.8,0.0,0.2946,0.3638,15000.0,1,B
1926.0,0.1957,0.2881,0.4085,15000.0,1,B
1926.2,0.3998,0.2621,0.4236,15000.0,1,B
1926.4,0.2132,0.2712,0.4248,15000.0,1,B
1926.6,0.2068,0.2875,0.1183,15000.0,1,B
1926.8,0.2548,0.2472,0.203,15000.0,1,B
1927.0,0.2896,0.3019,0.5813,15000.0,1,B
1927.2,0.0003,0.3063,0.217,15000.0,1,B
1927.4,0.0318,0.3555,0.3963,15000.0,1,B
1927.6,0.221,0.284,0.2692,15000.0,1,B
1927.8,0.7403,0.2221,0.3859,15000.0,1,B
1928.0,0.3312,0.2659,0.2828,15000.0,1,B
1928.2,0.1685,0.2924,0.4156,15000.0,1,B
1928.4,0.0065,0.3073,0.3587,15000.0,1,B
1928.6,0.0732,0.3107,0.2871,15000.0,1,B
1928.8,0.0,0.3264,0.2086,15000.0,1,B
1929.0,0.1766,0.2761,0.3869,15000.0,1,B
1929.2,0.1812,0.2885,0.2043,15000.0,1,B
1929.4,0.1576,0.2826,0.4035,15000.0,1,B
1929.6,0.3079,0.3167,0.6537,15000.0,1,B
1929.8,0.3199,0.267,0.5204,15000.0,1,B
1930.0,0.183,0.3216,0.4227,15000.0,1,B
1930.2,0.0,0.3161,0.3285,15000.0,1,B
1930.4,0.2617,0.2833,0.1192,15000.0,1,B
1930.6,0.2555,0.2527,0.2055,15000.0,1,B
1930.8,0.2309,0.2741,0.5095,15000.0,1,B
1931.0,0.2981,0.2765,0.2598,15000.0,1,B
1931.2,0.0835,0.3384,0.2459,15000.0,1,B
1931.4,0.4009,0.2603,0.3412,15000.0,1,B
1931.6,0.1041,0.331,0.2053,15000.0,1,B
1931.8,0.8032,0.2043,0.2363,15000.0,1,B
1932.0,0.0313,0.3475,0.3201,15000.0,1,B
1932.2,0.8432,0.1839,0.2847,15000.0,1,B
1932.4,0.7282,0.2513,0.2758,15000.0,1,B
1932.6,0.1739,0.2825,0.2585,15000.0,1,B
1932.8,0.284,0.2592,0.4242,15000.0,1,B
1933.0,0.2237,0.26,0.3333,15000.0,1,B
1933.2,0.1895,0.3363,0.3093,15000.0,1,B
1933.4,0.3364,0.2826,0.4238,15000.0,1,B
1933.6,0.1763,0.2851,0.3341,15000.0,1,B
1933.8,0.0219,0.3415,0.2952,15000.0,1,B
1934.0,0.1197,0.3146,0.3958,15000.0,1,B
1934.2,0.2551,0.3185,0.418,15000.0,1,B
1934.4,0.2396,0.2507,0.3473,15000.0,1,B
1934.6,0.0433,0.3078,0.3518,15000.0,1,B
1934.8,0.1276,0.2903,0.2552,15000.0,1,B
1935.0,0.1418,0.2578,0.2588,15000.0,1,B
1935.2,0.1635,0.3151,0.4315,15000.0,1,B
1935.4,0.0624,0.3046,0.3968,15000.0,1,B
1935.6,0.1372,0.3128,0.3947,15000.0,1,B
1935.8,0.1271,0.3469,0.3602,15000.0,1,B
1936.0,0.2772,0.2686,0.3633,15000.0,1,B
1936.2,0.2809,0.2666,0.4421,15000.0,1,B
1936.4,0.1854,0.2927,0.4603,15000.0,1,B
1936.6,0.1608,0.314,0.4489,15000.0,1,B
1936.8,0.9047,0.1639,0.3875,7748.4378,1,B
1937.0,0.8113,0.1776,0.5606,15000.0,1,B
1937.2,0.0853,0.3275,0.3616,15000.0,1,B
1937.4,0.106,0.3106,0.4168,15000.0,1,B
1937.6,0.1365,0.2573,0.3961,15000.0,1,B
1937.8,0.0837,0.2821,0.382,15000.0,1,B
1938.0,0.2162,0.3154,0.2507,15000.0,1,B
1938.2,0.273,0.2844,0.4356,15000.0,1,B
1938.4,0.0413,0.2981,0.6874,15000.0,1,B
1938.6,0.2025,0.2842,0.3065,15000.0,1,B
1938.8,0.178,0.2918,0.357,15000.0,1,B
1939.0,0.2342,0.2973,0.2928,15000.0,1,B
1939.2,0.1987,0.261,0.3022,15000.0,1,B
1939.4,0.0546,0.2944,0.5328,15000.0,1,B
1939.6,0.0738,0.3137,0.259,15000.0,1,B
1939.8,0.2029,0.2855,0.2941,15000.0,1,B
1940.0,0.3029,0.283,0.1615,15000.0,1,B
1940.2,0.0,0.2954,0.2561,15000.0,1,B
1940.4,0.2346,0.2896,0.1443,15000.0,1,B
1940.6,0.8803,0.201,0.4606,9499.9415,1,B
1940.8,0.1847,0.3002,0.6811,15000.0,1,B
1941.0,0.8439,0.1878,0.3461,15000.0,1,B
1941.2,0.1297,0.2973,0.1463,15000.0,1,B
1941.4,0.1881,0.2732,0.4639,15000.0,1,B
1941.6,0.0379,0.3125,0.253,15000.0,1,B
1941.8,0.8562,0.2082,0.5378,15000.0,1,B
1942.0,0.2943,0.2705,0.3231,15000.0,1,B
1942.2,0.1015,0.286,0.275,15000.0,1,B
1942.4,0.1544,0.2854,0.3297,15000.0,1,B
1942.6,0.8575,0.1868,0.4814,15000.0,1,B
1942.8,0.8925,0.1697,0.37,5271.3515,1,B
1943.0,0.1826,0.3005,0.2854,15000.0,1,B
1943.2,0.127,0.3101,0.3173,15000.0,1,B
1943.4,0.2378,0.2997,0.1927,15000.0,1,B
1943.6,0.2453,0.3092,0.3892,15000.0,1,B
1943.8,0.2321,0.3028,0.1297,15000.0,1,B
1944.0,0.2239,0.2655,0.3057,15000.0,1,B
1944.2,0.3578,0.2447,0.4585,15000.0,1,B
1944.4,0.0932,0.3036,0.3801,15000.0,1,B
1944.6,0.1945,0.2799,0.4241,15000.0,1,B
1944.8,0.3133,0.2471,0.3586,15000.0,1,B
1945.0,0.835,0.1776,0.5345,6551.701,1,B
1945.2,0.0578,0.3013,0.4557,15000.0,1,B
1945.4,0.1688,0.2796,0.4069,15000.0,1,B
1945.6,0.3358,0.26,0.4725,15000.0,1,B
1945.8,0.2508,0.3034,0.4339,15000.0,1,B
1946.0,0.2195,0.2889,0.2969,15000.0,1,B
1946.2,0.1782,0.3409,0.1676,15000.0,1,B
1946.4,0.1616,0.2976,0.3966,15000.0,1,B
1946.6,0.2288,0.2776,0.4197,15000.0,1,B
1946.8,0.1748,0.2921,0.4792,15000.0,1,B
1947.0,0.1957,0.2938,0.2353,15000.0,1,B
